epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,10520.6,0.91695,0.40396,1.00179,0.98781,0.99242,0.99291,0.7923,0.81567,0.31037,1.02714,0.003565,0.003565,0.003565
67,10679.8,0.91644,0.40511,1.00283,0.98756,0.99308,0.99294,0.79494,0.81226,0.30838,1.0247,0.003466,0.003466,0.003466
68,10838.7,0.91115,0.40047,1.00359,0.98803,0.99277,0.99309,0.79633,0.81005,0.30731,1.02365,0.003367,0.003367,0.003367
69,10998.1,0.91336,0.40062,1.00507,0.98781,0.99249,0.99299,0.79593,0.80961,0.30718,1.02317,0.003268,0.003268,0.003268
70,11156.4,0.90817,0.39926,1.0005,0.98846,0.99206,0.99303,0.79657,0.80746,0.30641,1.02243,0.003169,0.003169,0.003169
71,11315.8,0.90433,0.39299,0.99855,0.98867,0.99257,0.99298,0.79772,0.80407,0.3051,1.02075,0.00307,0.00307,0.00307
72,11475.5,0.90075,0.39507,0.99823,0.98916,0.99208,0.993,0.79819,0.80345,0.30422,1.01983,0.002971,0.002971,0.002971
73,11634.9,0.89821,0.39078,0.99852,0.98876,0.99242,0.99304,0.7996,0.80096,0.30306,1.01851,0.002872,0.002872,0.002872
74,11794,0.8962,0.38928,0.99402,0.98832,0.99352,0.99313,0.8005,0.80014,0.3023,1.01793,0.002773,0.002773,0.002773
75,11953.1,0.89722,0.39112,0.99803,0.98852,0.99393,0.99318,0.80166,0.79772,0.30117,1.01671,0.002674,0.002674,0.002674
76,12112.1,0.89342,0.38825,0.99415,0.98887,0.99398,0.99323,0.80243,0.79496,0.29997,1.01533,0.002575,0.002575,0.002575
77,12271.4,0.89178,0.38627,0.99226,0.98926,0.99349,0.9932,0.80283,0.79324,0.29909,1.0141,0.002476,0.002476,0.002476
78,12431,0.88912,0.38749,0.99085,0.98903,0.99413,0.9932,0.80344,0.79173,0.29848,1.01323,0.002377,0.002377,0.002377
79,12590.6,0.88473,0.38158,0.9931,0.98934,0.99384,0.99317,0.80405,0.7903,0.29754,1.01244,0.002278,0.002278,0.002278
80,12750,0.88455,0.37937,0.98947,0.98874,0.99444,0.99319,0.80484,0.78969,0.29721,1.01204,0.002179,0.002179,0.002179
81,12909.3,0.88103,0.38212,0.9919,0.98872,0.9945,0.9932,0.80546,0.78847,0.29692,1.01154,0.00208,0.00208,0.00208
82,13069.4,0.87977,0.38011,0.98633,0.98876,0.99478,0.9932,0.80562,0.78702,0.29638,1.01079,0.001981,0.001981,0.001981
